ASX listed companies as at Mon Feb 08 15:04:57 EST 2010

Company name,ASX code,GICS industry group
"AP EAGERS LIMITED",APE,"Retailing"
"APA FINANCIAL SERVICES LTD",APP,"Software & Services"
"APA GROUP",APA,"Utilities"
"APAC COAL LIMITED",AAL,"Energy"
"APEX MINERALS NL",AXM,"Materials"
"APN EUROPEAN RETAIL PROPERTY GROUP",AEZ,"Real Estate"
"APN NEWS & MEDIA LIMITED",APN,"Media"
"APN PROPERTY GROUP LIMITED",APD,"Diversified Financials"
"APOLLO CONSOLIDATED LIMITED",AOP,"Pharmaceuticals, Biotechnology & Life Sciences"
"APOLLO GAS LIMITED",AZO,"Energy"
"APOLLO MINERALS LIMITED",AON,"Materials"
"APOLLO SERIES 2005-1E TRUST",AOZ,"GICS Sector Code Not Applicable"
"APOLLO SERIES 2005-2 TRUST.",APQ,"GICS Sector Code Not Applicable"
"APOLLO SERIES 2006-1E TRUST",APJ,"GICS Sector Code Not Applicable"
"APOLLO SERIES 2007-1E TRUST",AOY,"GICS Sector Code Not Applicable"
"AQUACAROTENE LIMITED",AQL,"Health Care Equipment & Services"
"AQUARIUS PLATINUM LIMITED",AQP,"Materials"
"AQUILA RESOURCES LIMITED",AQA,"Energy"
"ARAFURA PEARLS HOLDINGS LIMITED",APB,"Consumer Durables & Apparel"
"ARAFURA RESOURCES LIMITED",ARU,"Materials"
"ARAGON RESOURCES LIMITED",AAG,"Materials"
"ARASOR INTERNATIONAL LIMITED",ARR,"Technology Hardware & Equipment"
"ARB CORPORATION LIMITED",ARP,"Retailing"
"ARC EXPLORATION LIMITED",ARX,"Materials"
"ARCHER EXPLORATION LIMITED",AXE,"Materials"
"ARDENT LEISURE GROUP",AAD,"Real Estate"
"ARGENT MINERALS LIMITED",ARD,"Materials"
"ARGO EXPLORATION LIMITED",AXT,"Materials"
"ARGO INVESTMENTS LIMITED",ARG,"Diversified Financials"
"ARGONAUT RESOURCES NL",ARE,"Materials"
"ARGOSY MINERALS INC",AGY,"Materials"
"ARGUS SOLUTIONS LIMITED",ASV,"Technology Hardware & Equipment"
"ARIADNE AUSTRALIA LIMITED",ARA,"Real Estate"
"ARISTOCRAT LEISURE LIMITED",ALL,"Consumer Services"
"ARK FUND LIMITED (THE)",ARJ,"Real Estate"
"ARMSTRONG JONES OFFICE FUND",AJO,"Real Estate"
"ARROW ENERGY LIMITED",AOE,"Energy"
"ARTEMIS RESOURCES LIMITED",ARV,"Materials"
"ARTIST & ENTERTAINMENT GROUP LIMITED",AEM,"Consumer Services"
"ARTURUS CAPITAL LIMITED",AKW,"Pharmaceuticals, Biotechnology & Life Sciences"
"ASCENT PHARMAHEALTH LTD",APH,"Pharmaceuticals, Biotechnology & Life Sciences"
"ASCIANO GROUP",AIO,"Transportation"
"ASF GROUP LIMITED",AFA,"Real Estate"
"ASG GROUP LIMITED",ASZ,"Software & Services"
"ASHBURTON MINERALS LIMITED",ATN,"Materials"
"ASIAN CENTRE FOR LIVER DISEASES AND TRANSPLANTATION LIMITED",AJJ,"Health Care Equipment & Services"
"ASIAN DEVELOPMENT BANK",ATB,"GICS Sector Code Not Applicable"
"ASIAN MASTERS FUND LIMITED",AUF,"Diversified Financials"
"ASIAN PACIFIC LIMITED",AAS,"Software & Services"
"ASK FUNDING LIMITED",AKF,"Diversified Financials"
"ASPEN GROUP",APZ,"Real Estate"
"ASPERMONT LIMITED.",ASP,"Media"
"ASSET LOANS LTD",ASQ,"Diversified Financials"
"ASTIVITA RENEWABLES LIMITED",AIR,"Capital Goods"
"ASTRA CAPITAL LIMITED",AKR,"Diversified Financials"
"ASTRO JAPAN PROPERTY GROUP",AJA,"Real Estate"
"ASTRO RESOURCES NL",ARO,"Materials"
"ASTRON LIMITED",ATR,"Materials"
"ASX LIMITED",ASX,"Diversified Financials"
"ATCOR MEDICAL HOLDINGS LIMITED",ACG,"Health Care Equipment & Services"
"ATECH HOLDINGS LIMITED",ATH,"Consumer Services"
"ATHENA RESOURCES LIMITED",AHN,"Materials"
"ATLANTIC GOLD NL",ATV,"Materials"
"ATLANTIC LIMITED",ATI,"Consumer Durables & Apparel"
"ATLAS IRON LIMITED",AGO,"Materials"
"ATLAS SOUTH SEA PEARL LIMITED",ATP,"Consumer Durables & Apparel"
"ATOM ENERGY LIMITED",AXY,"Energy"
"ATOMIC RESOURCES LIMITED",ATQ,"Energy"
"ATOS WELLNESS LTD",ATW,"Health Care Equipment & Services"
"ATTICUS RESOURCES LIMITED",ACZ,"Materials"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED",AIA,"Transportation"
"AUDAX RESOURCES LIMITED",ADX,"Materials"
"AUGUR RESOURCES LIMITED",AUK,"Materials"
"AUGUSTUS MINERALS LIMITED",AUJ,"Materials"
"AURA ENERGY LIMITED",AEE,"Energy"
"AURIUM RESOURCES LIMITED",AGU,"Materials"
"AURORA GLOBAL INFRASTRUCTURE INCOME TRUST",AIB,"Diversified Financials"
"AURORA MINERALS LIMITED",ARM,"Materials"
"AURORA OIL & GAS LIMITED",AUT,"Energy"
"AURORA PROPERTY BUY-WRITE INCOME TRUST",AUP,"Real Estate"
"AURORA SANDRINGHAM AUSTRALIAN EQUITY INCOME TRUST",ABW,"Diversified Financials"
"AURORA SANDRINGHAM DIVIDEND INCOME TRUST",AOD,"Diversified Financials"
"AUROX RESOURCES LIMITED",AXO,"Materials"
"AUSDRILL LIMITED",ASL,"Materials"
"AUSENCO LIMITED",AAX,"Capital Goods"
"AUSGOLD LIMITED",AUC,"Materials"
"AUSMELT LIMITED",AET,"Capital Goods"
"AUSMON RESOURCES LIMITED",AOA,"Materials"
"AUSQUEST LIMITED",AQD,"Materials"
"AUSSIE Q RESOURCES LIMITED",AQR,"Materials"
"AUSTAL LIMITED",ASB,"Capital Goods"
"AUSTAR UNITED COMMUNICATIONS LIMITED",AUN,"Media"
"AUSTBROKERS HOLDINGS LIMITED",AUB,"Insurance"
"AUSTEREO GROUP LIMITED",AEO,"Media"
"AUSTEX OIL LIMITED",AOK,"Energy"
"AUSTIN ENGINEERING LIMITED",ANG,"Capital Goods"
"AUSTIN EXPLORATION LIMITED",AKK,"Energy"
"AUSTOCK GROUP LIMITED",ACK,"Diversified Financials"
"AUSTOFIX GROUP LIMITED",AYX,"Health Care Equipment & Services"
"AUSTPAC RESOURCES NL",APG,"Materials"
"AUSTRAL AFRICA RESOURCES LTD",AAF,"Materials"
"AUSTRAL GOLD LIMITED",AGD,"Materials"
"AUSTRALAND ASSETS TRUST",AAZ,"Real Estate"
"AUSTRALAND PROPERTY GROUP",ALZ,"Real Estate"
"AUSTRALASIA GOLD LIMITED",AAO,"Materials"
"AUSTRALASIAN RESOURCES LIMITED",ARH,"Materials"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",ANZ,"Banks"
"AUSTRALIA CHINA HOLDINGS LIMITED",AAK,"Capital Goods"
"AUSTRALIA MINERALS AND MINING GROUP LTD",AKA,"Materials"
"AUSTRALIA ORIENTAL MINERALS NL",AOM,"Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.",AAC,"Food Beverage & Tobacco"
"AUSTRALIAN BAUXITE LIMITED",ABZ,"Materials"
"AUSTRALIAN CENTRAL CREDIT UNION LIMITED",ACD,"GICS Sector Code Not Applicable"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS",XCL,"GICS Sector Code Not Applicable"
"AUSTRALIAN EDUCATION TRUST",AEU,"Real Estate"
"AUSTRALIAN ENHANCED INCOME FUND",AYF,"GICS Sector Code Not Applicable"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED",AEF,"Diversified Financials"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED",AFI,"Diversified Financials"
"AUSTRALIAN GEMSTONE HOUSE LIMITED",AGN,"GICS Sector Code Not Applicable"
"AUSTRALIAN GOLD INVESTMENTS LIMITED",AGV,"Materials"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED",AQF,"Classification Pending"
"AUSTRALIAN INFRASTRUCTURE FUND",AIX,"Transportation"
"AUSTRALIAN LEADERS FUND LIMITED",ALF,"Diversified Financials"
"AUSTRALIAN MINES LIMITED",AUZ,"Materials"
"AUSTRALIAN MOTOR FINANCE GROUP LIMITED",AGQ,"Diversified Financials"
"AUSTRALIAN OIL COMPANY LIMITED",AOC,"Energy"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED",API,"Health Care Equipment & Services"
"AUSTRALIAN POWER AND GAS COMPANY LIMITED",APK,"Utilities"
"AUSTRALIAN RENEWABLE FUELS LIMITED",ARW,"Energy"
"AUSTRALIAN RURAL GROUP LIMITED",ASR,"Diversified Financials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED",AUI,"Diversified Financials"
"AUSTRALIAN VINTAGE LTD",AVG,"Food Beverage & Tobacco"
"AUSTRALIAN ZIRCON NL",AZC,"Materials"
"AUSTRALIS MINING CORPORATION LIMITED",AUV,"Materials"
"AUTHORISED INVESTMENT FUND LIMITED",AIY,"GICS Sector Code Not Applicable"
"AUTODOM LIMITED",AIE,"Capital Goods"
"AUTOMOTIVE HOLDINGS GROUP LIMITED",AHE,"Retailing"
"AUTOMOTIVE TECHNOLOGY GROUP LIMITED",ATJ,"Automobile & Components"
"AUTRON CORPORATION LIMITED",AAT,"Technology Hardware & Equipment"
"AUZEX RESOURCES LIMITED",AZX,"Materials"
"AVALON MINERALS LIMITED",AVI,"Materials"
"AVANCO RESOURCES LIMITED",AVB,"Materials"
"AVASTRA SLEEP CENTRES LIMITED",AVS,"Health Care Equipment & Services"
"AVEXA LIMITED",AVX,"Pharmaceuticals, Biotechnology & Life Sciences"
"AVITA MEDICAL LTD",AVH,"Pharmaceuticals, Biotechnology & Life Sciences"
"AVIVA CORPORATION LIMITED",AVA,"Materials"
"AVJENNINGS LIMITED",AVJ,"Real Estate"
"AVOCA RESOURCES LIMITED",AVO,"Materials"
"AVONLEA MINERALS LIMITED",AVZ,"Materials"
"AWB LIMITED",AWB,"Food & Staples Retailing"
"AWE LIMITED",AWE,"Energy"
"AWH CORPORATION LIMITED",AWL,"Food Beverage & Tobacco"
"AXA",AXJ,"GICS Sector Code Not Applicable"
"AXA ASIA PACIFIC HOLDINGS LIMITED",AXA,"Insurance"
"AXG MINING LIMITED",AXC,"Materials"
"AXIOM MINING LIMITED",AVQ,"Materials"
"AXIOM PROPERTIES LIMITED",AXI,"Real Estate"
"AZUMAH RESOURCES LIMITED",AZM,"Materials"
"AZURE MINERALS LIMITED",AZS,"Materials"
"AZURN INTERNATIONAL LIMITED",AZU,"Software & Services"
"BANDANNA ENERGY LIMITED",BND,"Energy"
"BANK OF QUEENSLAND LIMITED.",BOQ,"Banks"
"BANK OF SCOTLAND PLC",BNS,"GICS Sector Code Not Applicable"
"BANNERMAN RESOURCES LIMITED",BMN,"Materials"
"BARAKA PETROLEUM LIMITED",BKP,"Energy"
"BARRA RESOURCES LIMITED",BAR,"Materials"
"BASE IRON LIMITED",BSE,"Materials"
"BASS METALS LTD",BSM,"Materials"
"BASS STRAIT OIL COMPANY LIMITED",BAS,"Energy"
"BASSARI RESOURCES LIMITED",BSR,"Materials"
"BATAVIA MINING LIMITED",BTV,"Materials"
"BATHURST RESOURCES LIMITED",BTU,"Materials"
"BAUXITE RESOURCES LIMITED",BAU,"Materials"
"BBX HOLDINGS LIMITED",BBX,"Diversified Financials"
"BC IRON LIMITED",BCI,"Materials"
"BCD RESOURCES (OPERATIONS) NL",BCO,"Materials"
"BCD RESOURCES NL",BCD,"Materials"
"BEACH ENERGY LIMITED",BPT,"Energy"
"BEACON MINERALS LIMITED",BCN,"Materials"
"BEADELL RESOURCES LIMITED",BDR,"Materials"
"BECTON PROPERTY GROUP",BEC,"Real Estate"
"BELL FINANCIAL GROUP LIMITED",BFG,"Diversified Financials"
"BELMONT HOLDINGS LIMITED",BET,"Diversified Financials"
"BENDIGO AND ADELAIDE BANK LIMITED",BEN,"Banks"
"BENDIGO MINING LIMITED",BDG,"Materials"
"BENITEC LIMITED",BLT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BENTLEY CAPITAL LIMITED",BEL,"Diversified Financials"
"BERKELEY RESOURCES LIMITED",BKY,"Energy"
"BERKLEE LIMITED",BER,"Automobile & Components"
"BEYOND INTERNATIONAL LIMITED",BYI,"Media"
"BEYOND SPORTSWEAR INTERNATIONAL LIMITED",BSI,"Retailing"
"BHP BILLITON LIMITED",BHP,"Materials"
"BIGAIR GROUP LIMITED",BGL,"Telecommunication Services"
"BILLABONG INTERNATIONAL LIMITED",BBG,"Consumer Durables & Apparel"
"BIODIEM LIMITED",BDM,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOMD LIMITED",BOD,"Health Care Equipment & Services"
"BIONOMICS LIMITED",BNO,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOPHARMICA LIMITED",BPH,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOPROSPECT LIMITED",BPO,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOSIGNAL LIMITED",BOS,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTA HOLDINGS LIMITED",BTA,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTECH CAPITAL LIMITED",BTC,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIOTRON LIMITED",BIT,"Pharmaceuticals, Biotechnology & Life Sciences"
"BIRON APPAREL LIMITED",BIC,"Retailing"
"BISALLOY STEEL GROUP LIMITED",BIS,"Capital Goods"
"BISAN LIMITED",BSN,"Diversified Financials"
"BKI INVESTMENT COMPANY LIMITED",BKI,"Diversified Financials"
"BKM MANAGEMENT LIMITED",BKM,"Consumer Durables & Apparel"
"BLACK FIRE MINERALS LTD",BFE,"Energy"
"BLACK RANGE MINERALS LIMITED",BLR,"Materials"
"BLACK RIDGE MINING NL",BRD,"Materials"
"BLACKCREST RESOURCES LIMITED",BCR,"Diversified Financials"
"BLACKHAM RESOURCES LIMITED",BLK,"Materials"
"BLACKMORES LIMITED",BKL,"Health Care Equipment & Services"
"BLACKTHORN RESOURCES LIMITED",BTR,"Materials"
"BLAZE INTERNATIONAL LIMITED",BLZ,"Materials"
"BLINA DIAMONDS NL",BDI,"Materials"
"BLUE CAPITAL LIMITED",BIV,"Diversified Financials"
"BLUE ENERGY LIMITED",BUL,"Energy"
"BLUE ENSIGN TECHNOLOGIES LIMITED",BLE,"Consumer Services"
"BLUESCOPE STEEL LIMITED",BSL,"Materials"
"BLUGLASS LIMITED",BLG,"Semiconductors & Semiconductor Equipment"
"BOART LONGYEAR LIMITED",BLY,"Capital Goods"
"BONDI MINING LIMITED",BOM,"Materials"
"BONE MEDICAL LIMITED",BNE,"Pharmaceuticals, Biotechnology & Life Sciences"
"BOOM LOGISTICS LIMITED",BOL,"Capital Goods"
"BORAL LIMITED.",BLD,"Materials"
"BOSS ENERGY LIMITED",BOE,"Energy"
"BOTSWANA METALS LIMITED",BML,"Materials"
"BOUGAINVILLE COPPER LIMITED",BOC,"Materials"
"BOULDER STEEL LIMITED",BGD,"Materials"
"BOUNTY MINING LTD",BNT,"Energy"
"BOUNTY OIL & GAS NL",BUY,"Energy"
"BOW ENERGY LIMITED",BOW,"Energy"
"BOWEN ENERGY LIMITED",BWN,"Energy"
"BRADKEN LIMITED",BKN,"Capital Goods"
"BRAIN RESOURCE LIMITED",BRC,"Health Care Equipment & Services"
"BRAINYTOYS LIMITED",BRT,"Consumer Durables & Apparel"
"BRAINZ INSTRUMENTS LIMITED",BZI,"Health Care Equipment & Services"
"BRAMBLES LIMITED",BXB,"Commercial & Professional Services"
"BRAND NEW VINTAGE LIMITED",BNV,"Food Beverage & Tobacco"
"BRAVURA SOLUTIONS LIMITED",BVA,"Software & Services"
"BREAKAWAY RESOURCES LIMITED",BRW,"Materials"
"BREMER PARK LIMITED",BPK,"Capital Goods"
"BREVILLE GROUP LIMITED",BRG,"Retailing"
"BRICKWORKS LIMITED",BKW,"Materials"
"BRIERTY LIMITED",BYL,"Capital Goods"
"BRISBANE BRONCOS LIMITED",BBL,"Media"
"BRISBANE CITY COUNCIL",XQB,"GICS Sector Code Not Applicable"
"BRISCONNECTIONS UNIT TRUSTS",BCS,"Transportation"
"BROAD INVESTMENTS LIMITED",BRO,"Telecommunication Services"
"BROCKMAN RESOURCES LIMITED",BRM,"Materials"
"BROOKFIELD SECURED BONDS SERIES A ISSUER LIMITED",BZA,"GICS Sector Code Not Applicable"
"BROOKFIELD SECURED BONDS SERIES B ISSUER LIMITED",BZB,"GICS Sector Code Not Applicable"
"BRUMBY RESOURCES LIMITED",BMY,"Materials"
"BSA LIMITED",BSA,"Media"
"BT INVESTMENT MANAGEMENT LIMITED",BTT,"Diversified Financials"
"BUCCANEER ENERGY LIMITED",BCC,"Energy"
"BUCHANAN RESOURCES LIMITED",BUC,"Classification Pending"
"BUDERIM GINGER LIMITED",BUG,"Food Beverage & Tobacco"
"BUKA GOLD LIMITED",BKG,"Materials"
"BUNNINGS WAREHOUSE PROPERTY TRUST",BWP,"Real Estate"
"BUREY GOLD LIMITED",BYR,"Materials"
"BURLESON ENERGY LIMITED",BUR,"Energy"
"BURRUP HOLDINGS LIMITED",BOY,"Classification Pending"
"BURU ENERGY LIMITED",BRU,"Energy"
"BUXTON RESOURCES LIMITED",BUX,"Materials"
"BYTE POWER GROUP LIMITED",BPG,"Software & Services"
"C @ LIMITED",CEO,"Health Care Equipment & Services"
"CABCHARGE AUSTRALIA LIMITED",CAB,"Commercial & Professional Services"
"CADENCE CAPITAL LIMITED",CDM,"Diversified Financials"
"CALEDON RESOURCES PLC",CCD,"Materials"
"CALLABONNA URANIUM LTD",CUU,"Energy"
"CALLIDEN GROUP LIMITED",CIX,"Insurance"
"CALTEX AUSTRALIA LIMITED",CTX,"Energy"
"CALZADA LIMITED",CZD,"Pharmaceuticals, Biotechnology & Life Sciences"
"CAMPBELL BROTHERS LIMITED",CPB,"Commercial & Professional Services"
"CANADA LAND LIMITED",CDL,"Real Estate"
"CANBERRA INVESTMENT CORPORATION LIMITED",CNB,"Real Estate"
"CAPE ALUMINA LIMITED",CBX,"Materials"
"CAPE LAMBERT RESOURCES LIMITED",CFE,"Materials"
"CAPE RANGE LIMITED",CAG,"Telecommunication Services"
"CAPITAL MINING LIMITED",CMY,"Materials"
"CAPITOL HEALTH LIMITED",CAJ,"Health Care Equipment & Services"
"CAPRAL LIMITED",CAA,"Materials"
"CARBINE RESOURCES LIMITED",CRB,"Materials"
"CARBON CONSCIOUS LIMITED",CCF,"Commercial & Professional Services"
"CARBON ENERGY LIMITED",CNX,"Energy"
"CARBON MINERALS LIMITED",CRM,"Energy"
"CARDIA BIOPLASTICS LIMITED",CNN,"Capital Goods"
"CARDNO LIMITED",CDD,"Capital Goods"
"CAREERS MULTILIST LIMITED",CGR,"Classification Pending"
"CARINDALE PROPERTY TRUST",CDP,"Real Estate"
"CARLTON INVESTMENTS LIMITED",CIN,"Diversified Financials"
"CARNARVON PETROLEUM LIMITED",CVN,"Energy"
"CARNAVALE RESOURCES LIMITED",CAV,"Materials"
"CARNEGIE WAVE ENERGY LIMITED",CWE,"Utilities"
"CARPATHIAN RESOURCES LIMITED",CPN,"Energy"
"CARPENTARIA EXPLORATION LIMITED",CAP,"Materials"
"CARRICK GOLD LIMITED",CRK,"Materials"
"CARSALES.COM LIMITED",CRZ,"Software & Services"
"CASH CONVERTERS INTERNATIONAL",CCV,"Retailing"
"CASPIAN OIL & GAS LIMITED",CIG,"Energy"
"CASTLE MINERALS LIMITED",CDT,"Materials"
"CASTLEMAINE GOLDFIELDS LIMITED",CGT,"Materials"
"CATALPA RESOURCES LIMITED",CAH,"Materials"
"CATALYST METALS LIMITED",CYL,"Materials"
"CATHRX LTD",CXD,"Health Care Equipment & Services"
"CAULDRON ENERGY LIMITED",CXU,"Energy"
"CAZALY RESOURCES LIMITED",CAZ,"Materials"
"CBD ENERGY LIMITED",CBD,"Capital Goods"
"CBH RESOURCES LIMITED",CBH,"Materials"
"CBIO LIMITED",CBZ,"Classification Pending"
"CCK FINANCIAL SOLUTIONS LIMITED",CCK,"Software & Services"
"CEC GROUP LIMITED",CEG,"Capital Goods"
